IdConfigZonaMapa,Agente,TopeCuenta,Ejercicio,Quincena
1.0,E000375,100.0,2021,24
1.0,E001646,100.0,2021,24
4.0,E001334,70.0,2021,24
177.0,E061627,100.0,2022,6
177.0,E003072,100.0,2022,6
177.0,E000531,100.0,2022,6
7.0,E000640,100.0,2021,24
7.0,E055309,100.0,2021,24
7.0,E001526,100.0,2021,24
7.0,E001030,100.0,2021,24
7.0,E001092,100.0,2021,24
7.0,E001075,100.0,2021,24
7.0,E001463,100.0,2021,24
9.0,E001786,100.0,2021,24
11.0,E053547,100.0,2021,24
11.0,E014423,100.0,2021,24
11.0,E001946,100.0,2021,24
10.0,E000744,100.0,2021,24
10.0,E000917,100.0,2021,24
10.0,E001975,100.0,2021,24
12.0,E000049,100.0,2021,24
12.0,E000228,100.0,2021,24
12.0,E001549,100.0,2021,24
12.0,E041528,100.0,2021,24
12.0,E000028,100.0,2021,24
12.0,E062678,100.0,2021,24
14.0,E001996,70.0,2021,24
178.0,E000039,100.0,2022,6
18.0,E043493,70.0,2021,24
22.0,E058257,70.0,2021,24
23.0,E001512,100.0,2021,24
25.0,E052508,100.0,2021,24
29.0,E001161,100.0,2021,24
34.0,E000340,100.0,2021,24
34.0,E001475,100.0,2021,24
34.0,E062469,100.0,2021,24
34.0,E058192,100.0,2021,24
35.0,E059073,100.0,2021,24
36.0,E001655,70.0,2021,24
36.0,E001858,70.0,2021,24
38.0,E060993,70.0,2021,24
41.0,E059947,100.0,2021,24
41.0,E061452,100.0,2021,24
179.0,E000340,100.0,2022,6
179.0,E001288,100.0,2022,6
179.0,E062469,100.0,2022,6
179.0,E058192,100.0,2022,6
179.0,E001073,100.0,2022,6
179.0,E060993,100.0,2022,6
179.0,E001475,100.0,2022,6
179.0,E003111,100.0,2022,6
179.0,E062377,100.0,2022,6
180.0,E002283,100.0,2022,6
180.0,E002449,100.0,2022,6
180.0,E001588,100.0,2022,6
180.0,E002874,100.0,2022,6
181.0,E002307,100.0,2022,6
181.0,E002512,100.0,2022,6
181.0,E002498,100.0,2022,6
182.0,E001858,70.0,2022,6
182.0,E052916,70.0,2022,6
182.0,E057389,70.0,2022,6
182.0,E000484,70.0,2022,6
182.0,E002098,70.0,2022,6
186.0,E002497,70.0,2022,6
186.0,E002751,70.0,2022,6
186.0,E001854,70.0,2022,6
187.0,E053890,100.0,2022,6
189.0,E053718,100.0,2022,6
189.0,E001581,100.0,2022,6
189.0,E054609,100.0,2022,6
189.0,E001495,100.0,2022,6
189.0,E049566,100.0,2022,6
190.0,E002972,100.0,2022,6
191.0,E001484,100.0,2022,6
191.0,E062280,100.0,2022,6
191.0,E002539,100.0,2022,6
191.0,E002214,100.0,2022,6
191.0,E002713,100.0,2022,6
191.0,E002974,100.0,2022,6
191.0,E000375,100.0,2022,6
192.0,E001912,100.0,2022,6
192.0,E058211,100.0,2022,6
192.0,E002104,100.0,2022,6
193.0,E026431,70.0,2022,6
193.0,E054510,70.0,2022,6
194.0,E052874,70.0,2022,6
195.0,E052818,70.0,2022,6
195.0,E001680,70.0,2022,6
196.0,E002960,100.0,2022,6
196.0,E062642,100.0,2022,6
197.0,E061352,100.0,2022,6
197.0,E030050,100.0,2022,6
201.0,E003089,100.0,2022,6
201.0,E001309,100.0,2022,6
201.0,E050859,100.0,2022,6
202.0,E000670,100.0,2022,6
204.0,E000228,100.0,2022,6
204.0,E002921,100.0,2022,6
204.0,E002916,100.0,2022,6
204.0,E002767,100.0,2022,6
204.0,E001393,100.0,2022,6
204.0,E059817,100.0,2022,6
204.0,E002883,100.0,2022,6
204.0,E000028,100.0,2022,6
204.0,E002639,100.0,2022,6
204.0,E062150,100.0,2022,6
204.0,E061518,100.0,2022,6
204.0,E062299,100.0,2022,6
204.0,E061603,100.0,2022,6
204.0,E001723,100.0,2022,6
204.0,E057121,100.0,2022,6
204.0,E056953,100.0,2022,6
204.0,E051930,100.0,2022,6
203.0,E031486,100.0,2022,6
203.0,E062506,100.0,2022,6
205.0,E002935,100.0,2022,6
207.0,E060230,100.0,2022,6
207.0,E001650,100.0,2022,6
207.0,E014423,100.0,2022,6
207.0,E002877,100.0,2022,6
207.0,E041528,100.0,2022,6
207.0,E002607,100.0,2022,6
209.0,E061086,70.0,2022,6
210.0,E002306,70.0,2022,6
211.0,E043915,120.0,2022,6
202.0,E002465,100.0,2022,6
211.0,E000372,100.0,2022,6
211.0,E058710,100.0,2022,6
211.0,E059482,100.0,2022,6
211.0,E001702,120.0,2022,6
211.0,E002488,100.0,2022,6
214.0,E002417,70.0,2022,6
214.0,E053702,70.0,2022,6
214.0,E001787,70.0,2022,6
214.0,E003034,70.0,2022,6
214.0,E002998,70.0,2022,6
214.0,E002685,70.0,2022,6
214.0,E001629,70.0,2022,6
214.0,E000536,70.0,2022,6
214.0,E033393,70.0,2022,6
216.0,E059582,70.0,2022,6
216.0,E002153,70.0,2022,6
216.0,E057275,70.0,2022,6
211.0,E061511,100.0,2022,6
211.0,E052442,100.0,2022,6
211.0,E001514,100.0,2022,6
211.0,E003258,100.0,2022,6
223.0,E001912,100.0,2022,7
222.0,E003035,100.0,2022,7
224.0,E059582,70.0,2022,7
225.0,E053890,100.0,2022,7
226.0,E057275,70.0,2022,7
226.0,E002153,70.0,2022,7
226.0,E052874,70.0,2022,7
226.0,E002104,70.0,2022,7
227.0,E003089,100.0,2022,7
227.0,E050859,100.0,2022,7
227.0,E001309,100.0,2022,7
228.0,E000039,100.0,2022,7
229.0,E002960,100.0,2022,7
229.0,E062642,100.0,2022,7
230.0,E031486,100.0,2022,7
230.0,E062506,100.0,2022,7
233.0,E002123,100.0,2022,7
233.0,E002440,100.0,2022,7
233.0,E003258,100.0,2022,7
233.0,E002488,100.0,2022,7
233.0,E043915,100.0,2022,7
233.0,E058710,100.0,2022,7
233.0,E001514,100.0,2022,7
234.0,E002685,70.0,2022,7
234.0,E001629,70.0,2022,7
234.0,E000536,70.0,2022,7
236.0,E061511,70.0,2022,7
236.0,E053702,70.0,2022,7
236.0,E000372,70.0,2022,7
236.0,E001702,70.0,2022,7
236.0,E001787,70.0,2022,7
236.0,E002417,70.0,2022,7
236.0,E000838,70.0,2022,7
236.0,E007335,70.0,2022,7
236.0,E040933,70.0,2022,7
236.0,E003232,70.0,2022,7
236.0,E001178,70.0,2022,7
236.0,E056617,70.0,2022,7
236.0,E057992,70.0,2022,7
238.0,E053311,100.0,2022,7
238.0,E002935,100.0,2022,7
238.0,E059504,100.0,2022,7
239.0,E002306,100.0,2022,7
239.0,E003610,100.0,2022,7
256.0,E003530,70.0,2022,7
256.0,E003234,70.0,2022,7
255.0,E003118,100.0,2022,7
255.0,E003650,100.0,2022,7
257.0,E026431,70.0,2022,7
257.0,E054510,70.0,2022,7
261.0,E002768,70.0,2022,7
261.0,E002352,70.0,2022,7
261.0,E000772,70.0,2022,7
261.0,E000724,70.0,2022,7
261.0,E061312,70.0,2022,7
260.0,E003176,100.0,2022,7
263.0,E003604,70.0,2022,7
263.0,E003556,70.0,2022,7
254.0,E053718,100.0,2022,7
254.0,E001581,100.0,2022,7
420.0,E001889,100.0,2022,9
420.0,E003773,100.0,2022,9
420.0,E003829,100.0,2022,9
420.0,E004055,100.0,2022,9
467.0,E004126,150.0,2022,10
467.0,E004189,150.0,2022,10
8.0,E001950,70.0,2021,24
16.0,E000534,70.0,2021,24
16.0,E040933,70.0,2021,24
17.0,E062516,100.0,2021,24
19.0,E053311,100.0,2021,24
19.0,E059504,100.0,2021,24
19.0,E059302,100.0,2021,24
20.0,E000716,70.0,2021,24
28.0,E001588,100.0,2021,24
28.0,E001909,100.0,2021,24
28.0,E001854,100.0,2021,24
39.0,E061352,100.0,2021,24
44.0,E053718,100.0,2021,24
44.0,E052818,100.0,2021,24
44.0,E054609,100.0,2021,24
44.0,E049566,100.0,2021,24
44.0,E001495,100.0,2021,24
52.0,E001072,70.0,2021,24
52.0,E057992,70.0,2021,24
52.0,E001680,70.0,2021,24
50.0,E001702,70.0,2021,24
50.0,E000671,70.0,2021,24
50.0,E001500,70.0,2021,24
199.0,E059346,100.0,2022,6
198.0,E038709,70.0,2022,6
198.0,E059073,70.0,2022,6
211.0,,100.0,2022,6
202.0,E002167,100.0,2022,6
202.0,E002332,100.0,2022,6
206.0,E002225,100.0,2022,6
206.0,E002123,100.0,2022,6
213.0,E061072,70.0,2022,6
213.0,E059610,70.0,2022,6
213.0,E059108,70.0,2022,6
213.0,E001884,70.0,2022,6
213.0,E003004,70.0,2022,6
213.0,E061312,70.0,2022,6
213.0,E001946,70.0,2022,6
215.0,E002768,70.0,2022,6
215.0,E002352,70.0,2022,6
215.0,E000772,70.0,2022,6
215.0,E000724,70.0,2022,6
261.0,E003175,70.0,2022,7
315.0,E000640,100.0,2022,8
315.0,E055309,100.0,2022,8
315.0,E059464,100.0,2022,8
315.0,E027690,100.0,2022,8
315.0,E003940,100.0,2022,8
315.0,E000372,100.0,2022,8
315.0,E060191,100.0,2022,8
315.0,E043915,100.0,2022,8
315.0,E002488,100.0,2022,8
315.0,E000706,100.0,2022,8
315.0,E003094,100.0,2022,8
315.0,E003629,100.0,2022,8
315.0,E002998,100.0,2022,8
315.0,E059482,100.0,2022,8
315.0,E003285,100.0,2022,8
315.0,E001500,100.0,2022,8
315.0,E000119,100.0,2022,8
315.0,E001420,100.0,2022,8
315.0,E000579,100.0,2022,8
315.0,E033393,100.0,2022,8
315.0,E055602,100.0,2022,8
315.0,E000790,100.0,2022,8
316.0,E000049,100.0,2022,8
316.0,E002877,100.0,2022,8
316.0,E002905,100.0,2022,8
316.0,E003834,100.0,2022,8
316.0,E060230,100.0,2022,8
316.0,E014423,100.0,2022,8
316.0,E002769,100.0,2022,8
316.0,E002773,100.0,2022,8
316.0,E002607,100.0,2022,8
316.0,E041528,100.0,2022,8
316.0,E001650,100.0,2022,8
361.0,E059582,70.0,2022,8
321.0,E053890,100.0,2022,8
349.0,E002283,100.0,2022,8
318.0,E003125,100.0,2022,8
318.0,E003471,100.0,2022,8
318.0,E059097,100.0,2022,8
320.0,E061627,100.0,2022,8
320.0,E000531,100.0,2022,8
320.0,E003035,100.0,2022,8
320.0,E003072,100.0,2022,8
323.0,E000039,100.0,2022,8
324.0,E002960,100.0,2022,8
324.0,E003667,100.0,2022,8
324.0,E062642,100.0,2022,8
325.0,E031486,100.0,2022,8
325.0,E062506,100.0,2022,8
326.0,E000716,100.0,2022,8
326.0,E001889,100.0,2022,8
326.0,E003773,100.0,2022,8
326.0,E003829,100.0,2022,8
328.0,E002306,100.0,2022,8
328.0,E003890,100.0,2022,8
330.0,E002225,70.0,2022,8
329.0,E061072,70.0,2022,8
329.0,E059108,70.0,2022,8
329.0,E003004,70.0,2022,8
329.0,E003201,70.0,2022,8
329.0,E001884,70.0,2022,8
329.0,E001946,70.0,2022,8
329.0,E059610,70.0,2022,8
329.0,E003604,70.0,2022,8
329.0,E003556,70.0,2022,8
332.0,E052508,100.0,2022,8
335.0,E003175,70.0,2022,8
335.0,E002352,70.0,2022,8
335.0,E000772,70.0,2022,8
335.0,E000724,70.0,2022,8
333.0,E002123,100.0,2022,8
333.0,E002440,100.0,2022,8
333.0,E003258,100.0,2022,8
333.0,E058710,100.0,2022,8
344.0,E001073,100.0,2022,8
344.0,E000340,100.0,2022,8
344.0,E003712,100.0,2022,8
344.0,E001288,100.0,2022,8
344.0,E060993,100.0,2022,8
344.0,E001475,100.0,2022,8
344.0,E002498,100.0,2022,8
344.0,E003111,100.0,2022,8
344.0,E001472,100.0,2022,8
349.0,E001588,100.0,2022,8
349.0,E002874,100.0,2022,8
349.0,E003426,100.0,2022,8
349.0,E002449,100.0,2022,8
365.0,E062516,70.0,2022,8
365.0,E003429,70.0,2022,8
419.0,E002440,100.0,2022,9
470.0,E003895,120.0,2022,10
470.0,E003999,120.0,2022,10
470.0,E062280,120.0,2022,10
470.0,E002214,120.0,2022,10
470.0,E003729,120.0,2022,10
477.0,E002639,120.0,2022,10
477.0,E002916,120.0,2022,10
477.0,E002607,120.0,2022,10
477.0,E000228,120.0,2022,10
477.0,E002921,120.0,2022,10
477.0,E059817,120.0,2022,10
477.0,E001393,120.0,2022,10
477.0,E062299,120.0,2022,10
477.0,E041528,120.0,2022,10
477.0,E000028,120.0,2022,10
472.0,E002465,150.0,2022,10
472.0,E002332,150.0,2022,10
472.0,E000533,150.0,2022,10
474.0,E001279,80.0,2022,10
474.0,E059529,80.0,2022,10
474.0,E002104,80.0,2022,10
476.0,E052818,120.0,2022,10
476.0,E003647,120.0,2022,10
476.0,E054609,120.0,2022,10
476.0,E003650,120.0,2022,10
476.0,E049566,120.0,2022,10
477.0,E061518,120.0,2022,10
477.0,E056953,120.0,2022,10
477.0,E057121,120.0,2022,10
477.0,E061603,120.0,2022,10
477.0,E001723,120.0,2022,10
480.0,E026431,80.0,2022,10
480.0,E001680,80.0,2022,10
480.0,E005699,80.0,2022,10
481.0,E052916,120.0,2022,10
481.0,E060993,120.0,2022,10
482.0,E000049,120.0,2022,10
482.0,E060230,120.0,2022,10
482.0,E002905,120.0,2022,10
482.0,E002773,120.0,2022,10
482.0,E059610,120.0,2022,10
482.0,E001650,120.0,2022,10
482.0,E014423,120.0,2022,10
482.0,E052129,120.0,2022,10
